SMILES Labelled
C1=CC=C([O:61][P:10]([O:71]C2=CC=CC=C2)[O:81]C2=CC=CC=C2)C=C1.CO[C:44]1=[CH:43][CH:42]=[C:41]([CH+:20][C:31]23C4C5C6C2[Fe:32]56432789C3C2C7C8C39)[CH:46]=[CH:45]1>>CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([P+:10]([O:61]C2=CC=CC=C2)([O:71]C2=CC=CC=C2)[O:81]C2=CC=CC=C2)[C:31]23C4C5C6C2[Fe:32]56432789C3C2C7C8C39)[CH:46]=[CH:45]1 10=20
"C1=CC=C([Sn:63](C2=CC=CC=C2)(C2=CC=CC=C2)[CH2:62][CH:11]=[CH2:10])C=C1.C[C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][C:41]2=[CH:42][CH:43]=[C:44](OC3=CC=CC=C3)[CH:45]=[CH:46]2)[CH:36]=[CH:35]1>>C[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([CH2:10][CH+:11][CH2:62][Sn:63](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[C:41]2=[CH:42][CH:43]=[C:44](OC3=CC=CC=C3)[CH:45]=[CH:46]2)[CH:36]=[CH:35]1 10,11=10,20"
"C[C:44]1=[CH:43][CH:42]=[C:41](/[CH:20]=[CH:21]/[N+:22](=[O:23])[O-:33])[CH:46]=[CH:45]1.C[N:12]1[C:11]([H:10])([C:72]2=[CH:73][CH:74]=[C:75](C(F)(F)F)[CH:84]=[CH:83]2)[N:62](C)[C:93]2=[C:94]1C=CC=C2>>C[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([H:10])[CH:21]=[N+:22]([O-:23])[O-:33])[CH:46]=[CH:45]1.C[N+:12]1=[C:11]([C:72]2=[CH:73][CH:74]=[C:75](C(F)(F)F)[CH:84]=[CH:83]2)[N:62](C)[C:93]2=[C:94]1C=CC=C2 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CO[C:34]1=[CH:33][CH:32]=[C:31]([C+:20]([C:41]2=[CH:42][C:43](C)=[CH:44][CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[CH:36]=[CH:35]1.C[C:73]1=[CH:72][C:61]2=[C:62]([NH:12][CH:11]=[CH:10]2)[CH:63]=[CH:64]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([C:20]([CH:10]2[CH:11]=[NH+:12][C:62]3=[C:61]2[CH:72]=[C:73](C)[CH:64]=[CH:63]3)([C:41]2=[CH:42][C:43](C)=[CH:44][CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[CH:36]=[CH:35]1 10,11=10,20;12=11,12"
"CC(C)[C:11]1([H:10])[O:12]C(C)C(C)[O:62]1.C[O:33][C:22]([CH:21]=[CH2:20])=[O:23]>>CC(C)[C:11]1=[O+:12]C(C)C(C)[O:62]1.C[O:33][C:22](=[CH:21][CH2:20][H:10])[O-:23] 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
CO[C:65]1=[CH:64][CH:63]=[C:62]([N:61]2[C-:10]=[N+:71](C)[CH:73]=[CH:72]2)[CH:67]=[CH:66]1.FC(F)(F)CN(C1=CC=CC=C1)[C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][C:41]2=[CH:42][CH:43]=[C:44](N(CC(F)(F)F)C3=CC=CC=C3)[CH:45]=[CH:46]2)[CH:36]=[CH:35]1>>CO[C:65]1=[CH:64][CH:63]=[C:62]([N:61]2[C:10]([CH:20]([C:31]3=[CH:32][CH:33]=[C:34](N(CC(F)(F)F)C4=CC=CC=C4)[CH:35]=[CH:36]3)[C:41]3=[CH:42][CH:43]=[C:44](N(CC(F)(F)F)C4=CC=CC=C4)[CH:45]=[CH:46]3)=[N+:71](C)[CH:73]=[CH:72]2)[CH:67]=[CH:66]1 10=20
"CC1=CC(C)=C([N:63]2[C:62]([C:81]([C-:10](C)C3=CC=CC=C3)=[O:82])=[N+:73](C3=C(C)C=C(C)C=C3C)[N:65]=[C:64]2C2=CC=CC=C2)C(C)=C1.F[C:31]1=[C:32](F)[C:33](=[O:34])[C:42](F)=[C:41](F)[C:20]1=[O:21]>>CC1=CC(C)=C([N:63]2[C:62]([C:81]([C:10](C)(C3=CC=CC=C3)[C:20]3([O-:21])[C:31](F)=[C:32](F)[C:33](=[O:34])[C:42](F)=[C:41]3F)=[O:82])=[N+:73](C3=C(C)C=C(C)C=C3C)[N:65]=[C:64]2C2=CC=CC=C2)C(C)=C1 10=20;20,21=21"
"CN(C)[C:34]1=[CH:33][CH:32]=[C:31](/[CH:20]=[C:21]2/C3=CC=CC=C3[N+:23](C)=[CH:22]2)[CH:36]=[CH:35]1.C[C-:10]([C:61]#[N:62])[C:71]1=[CH:72][CH:73]=[C:74]([C:75]#[N:76])[CH:85]=[CH:84]1>>CN(C)[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([C:10](C)([C:61]#[N:62])[C:71]2=[CH:72][CH:73]=[C:74]([C:75]#[N:76])[CH:85]=[CH:84]2)[C:21]2=[CH:22][N:23](C)C3=CC=CC=C32)[CH:36]=[CH:35]1 10=20;20,21=21,22;22,23=23"
"C1=CC=C([S:61]([CH-:10][C:81]2=[CH:82][CH:83]=[C:84]([N+:85](=[O:86])[O-:96])[CH:93]=[CH:92]2)(=[O:62])=[O:72])C=C1.N#C[C:21]1=[CH:20][C:41]2=[N+:42]([O-])O[N:35]=[C:34]2[C:23]([N+:24]([O-])=[O:25])=[CH:22]1>>N#C[C:21]1=[CH:22][C:23](=[N+:24]([O-])[O-:25])[C:34]2=[N:35]O[N+:42]([O-])=[C:41]2[CH:20]1[CH:10]([S:61](C1=CC=CC=C1)(=[O:62])=[O:72])[C:81]1=[CH:82][CH:83]=[C:84]([N+:85](=[O:86])[O-:96])[CH:93]=[CH:92]1 10=20;20,21=21,22;22,23=23,24;24,25=25"
"CC(C)(C)C1=CC=CC(C(C)(C)C)=C1[N:12]1[C:11](=[CH:10]C2=CC=C([N+](=O)[O-])C=C2)[N:63](C2=C(C(C)(C)C)C=CC=C2C(C)(C)C)[CH:64]=[CH:65]1.CC[O:33][C:31](/[CH:20]=[C:21](C)/[N:22]=[N:23]/[C:24](NC1=CC=CC=C1)=[O:25])=[O:32]>>CC[O:33][C:31]([CH:20]([CH:10](C1=CC=C([N+](=O)[O-])C=C1)[C:11]1=[N+:12](C2=C(C(C)(C)C)C=CC=C2C(C)(C)C)[CH:65]=[CH:64][N:63]1C1=C(C(C)(C)C)C=CC=C1C(C)(C)C)[C:21](C)=[N:22][N:23]=[C:24](NC1=CC=CC=C1)[O-:25])=[O:32] 10,11=10,20;12=11,12;20,21=21,22;22,23=23,24;24,25=25"
"C[Si](C)(C)OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1CCC/[N+:23]1=[CH:22]/[CH:21]=[CH:20]/[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1.[CH-:10]([N+:61]#[N:62])[C:71]1=[CH:72][CH:73]=[C:74]([Br:75])[CH:83]=[CH:82]1>>C[Si](C)(C)OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1CCC[N:23]1[CH:22]=[CH:21][CH:20]([CH:10]([N+:61]#[N:62])[C:71]1=[CH:72][CH:73]=[C:74]([Br:75])[CH:83]=[CH:82]1)[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1 10=20;20,21=21,22;22,23=23"
"CC[O:72][C:61]([C:10]1=[C:11]([O-:12])CCCCCC1)=[O:62].F[C:33]1=[CH:34][C:35](F)=[CH:36][C:31]([CH+:20][CH:41]=[CH:42][C:53]2=[CH:54][C:55](F)=[CH:56][C:57](F)=[CH:58]2)=[CH:32]1>>CC[O:72][C:61]([C:10]1([CH:20]([C:31]2=[CH:32][C:33](F)=[CH:34][C:35](F)=[CH:36]2)[CH:41]=[CH:42][C:53]2=[CH:54][C:55](F)=[CH:56][C:57](F)=[CH:58]2)CCCCCC[C:11]1=[O:12])=[O:62] 10,11=10,20;12=11,12"
"C1=CC=C(C(C2=CC=CC=C2)(C2=CC=CC=C2)C2CCC[NH:10]2)C=C1.CN1C(=O)C(CC2=CC=CC=C2)/[N+:23](=[CH:22]/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[C:34](C#N)[CH:35]=[CH:36]2)C1(C)C>>CN1C(=O)C(CC2=CC=CC=C2)[N:23]([CH:22]=[CH:21][CH:20]([NH+:10]2CCCC2C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[C:31]2=[CH:32][CH:33]=[C:34](C#N)[CH:35]=[CH:36]2)C1(C)C 10=20;20,21=21,22;22,23=23"
"CN1C(=O)C(CC2=C(F)C(F)=C(F)C(F)=C2F)/[N+:23](=[CH:22]/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)C1(C)C.C[O:14][C:13]1=[CH:12][CH:11]=[CH:10][CH:62]=[CH:61]1>>CN1C(=O)C(CC2=C(F)C(F)=C(F)C(F)=C2F)[N:23]([CH:22]=[CH:21][CH:20]([CH:10]2[CH:11]=[CH:12][C:13](=[O+:14]C)[CH:61]=[CH:62]2)[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)C1(C)C 10,11=10,20;12,13=11,12;14=13,14;20,21=21,22;22,23=23"
"CC[NH:10]CC.CO[C:24](/[N:23]=[N:22]/[C:21](C)=[CH:20]/[C:31](=[O:32])[N:33](C)C)=[O:25]>>CC[NH+:10](CC)[CH:20]([C:21](C)=[N:22][N:23]=[C:24](OC)[O-:25])[C:31](=[O:32])[N:33](C)C 10=20;20,21=21,22;22,23=23,24;24,25=25"
"CC[O:33][C:31]([C:20]1=[C:21](/[N:22]=[N:23]/[C:24](N)=[O:25])CCC1)=[O:32].C[N:12]1CC[N:62](C)[C:11]1=[NH:10]>>CC[O:33][C:31]([C:20]1([NH:10][C:11]2=[N+:12](C)CC[N:62]2C)CCC[C:21]1=[N:22][N:23]=[C:24](N)[O-:25])=[O:32] 10,11=10,20;12=11,12;20,21=21,22;22,23=23,24;24,25=25"
"CC[O:82][C:71]([C-:10]([C:61](=[O:62])[O:112]CC)[C:91]1=[CH:92][CH:93]=[C:94](OC)[CH:103]=[CH:102]1)=[O:72].FC(F)[S:20][N:21]1[C:22](=[O:23])C2=C(C=CC=C2)[C:32]1=[O:33]>>C1=CC2=C(C=C1)[C:32](=[O:33])[N:21]=[C:22]2[O-:23].CC[O:82][C:71]([C:10]([S:20]C(F)F)([C:61](=[O:62])[O:112]CC)[C:91]1=[CH:92][CH:93]=[C:94](OC)[CH:103]=[CH:102]1)=[O:72] 10=20;20,21=21,22;22,23=23"
"C[O:33][C:22]([CH:21]=[CH2:20])=[O:23].C[Sn:63](C)(C)[CH:62]1C2=C(C=CC=C2)[CH:10]=[CH:11]1>>C[O:33][C:22](=[CH:21][CH2:20][CH:10]1C2=C(C=CC=C2)[CH:62]([Sn:63](C)(C)C)[CH+:11]1)[O-:23] 10,11=10,20;20,21=21,22;22,23=23"
"CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[CH:22]=[C:23](C3=CC=CC=C3)[C:24](=[O:25])[C:33](C3=CC=CC=C3)=[CH:32]2)[CH:46]=[CH:45]1.C[C:61]1=[N:10][CH:64]=[C:63](C)[NH:62]1>>CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([N+:10]2=[C:61](C)[NH:62][C:63](C)=[CH:64]2)[C:21]2=[CH:22][C:23](C3=CC=CC=C3)=[C:24]([O-:25])[C:33](C3=CC=CC=C3)=[CH:32]2)[CH:46]=[CH:45]1 10=20;20,21=21,22;22,23=23,24;24,25=25"
"C[C:21](=[CH:20]\[C:31](=[O:32])[N:33](C)C)/[N:22]=[N:23]/[C:24](N)=[O:25].C[C:81]([C-:10]1CCC[O:72][C:61]1=[O:62])=[O:82]>>C[C:21]([CH:20]([C:10]1([C:81](C)=[O:82])CCC[O:72][C:61]1=[O:62])[C:31](=[O:32])[N:33](C)C)=[N:22][N:23]=[C:24](N)[O-:25] 10=20;20,21=21,22;22,23=23,24;24,25=25"
"C1=CC=C(/[CH:10]=[C:11](/[N:12]2CCCCC2)[C:62]2=[CH:63][CH:64]=[CH:65][CH:74]=[CH:73]2)C=C1.COC1=CC=C(/[CH:42]=[CH:41]/[CH:20]=[C:21]2[CH:22]=[C:23](C(C)(C)C)[C:24](=[O:25])[C:33](C(C)(C)C)=[CH:32]2)C=C1>>COC1=CC=C(/[CH:42]=[CH:41]/[CH:20]([CH:10](C2=CC=CC=C2)[C:11](=[N+:12]2CCCCC2)[C:62]2=[CH:63][CH:64]=[CH:65][CH:74]=[CH:73]2)[C:21]2=[CH:22][C:23](C(C)(C)C)=[C:24]([O-:25])[C:33](C(C)(C)C)=[CH:32]2)C=C1 10,11=10,20;12=11,12;20,21=21,22;22,23=23,24;24,25=25"
"C1C[O:33][C:22](=[O:23])[C:21]1=[CH2:20].CC1=CC=[C:10]([B-:11]2(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)[O:12]C(C)(C)C(C)(C)[O:62]2)S1>>CC1(C)C(C)(C)[O:62][B-:11](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=[O+:12]1.CC1=CC=[C:10]([CH2:20][C:21]2=[C:22]([O-:23])[O:33]CC2)S1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C[C+:20](C)[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1.C[C:63]([NH:12][C:11]1=[CH:10]CCC1)=[O:64]>>C[C:20](C)([CH:10]1CCC[C:11]1=[NH+:12][C:63](C)=[O:64])[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1 10,11=10,20;12=11,12"
"CC1(C)[O:62][C:11]([O-:12])=[C:10]([I+:72]C2=CC=CC=C2)[C:81](=[O:82])[O:92]1.Cl[C:21]1([Cl:20])[C:22](=[O:23])[C:35]2=[C:34](C=CC=C2)[C:33](Cl)=[CH:32]1>>CC1(C)[O:62][C:11](=[O:12])[C:10]([Cl:20])([I+:72]C2=CC=CC=C2)[C:81](=[O:82])[O:92]1.Cl[C:21]1=[C:22]([O-:23])[C:35]2=[C:34](C=CC=C2)[C:33](Cl)=[CH:32]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C[Si:63](C)(C)[CH:62]1C2=C(C=CC=C2)[CH:10]=[CH:11]1.[C+:20]([C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1)([C:41]1=[CH:42][CH:43]=[CH:44][CH:45]=[CH:46]1)[C:51]1=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]1>>C[Si:63](C)(C)[CH:62]1C2=C(C=CC=C2)[CH:10]([C:20]([C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)([C:41]2=[CH:42][CH:43]=[CH:44][CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[CH+:11]1 10,11=10,20"
"O=C([O-])C1CC2=C(C=CC=C2)/[N+:23]1=[CH:22]/[CH:21]=[CH:20]/[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1.[H:10][CH:11]1[CH:12]=[CH:13][CH2:64][CH:63]=[CH:62]1>>O=C([O-])C1CC2=C(C=CC=C2)[N:23]1[CH:22]=[CH:21][CH:20]([H:10])[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1.[CH:11]1=[CH:12][CH+:13][CH2:64][CH:63]=[CH:62]1 10,11=10,20;12,13=11,12;20,21=21,22;22,23=23"
"C[C:61](/[CH:10]=[C:11](/C1=CC=CC=C1)[O-:12])=[O:62].O=[N+]([O-])[C:33]1=[CH:32][C:21]([N+:22]([O-])=[O:23])=[CH:20][C:41]2=[N:42]O[N:35]=[C:34]12>>C[C:61]([CH:10]([C:11](C1=CC=CC=C1)=[O:12])[CH:20]1[C:21](=[N+:22]([O-])[O-:23])[CH:32]=[C:33]([N+](=O)[O-])[C:34]2=[N:35]O[N:42]=[C:41]12)=[O:62] 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CC[O:82][C:71]([C-:10](C)[C:61](=[O:62])[O:92]CC)=[O:72].CN1C(=O)C(CC2=CC=CC=C2)/[N+:23](=[CH:22]/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)C1C(C)(C)C>>CC[O:82][C:71]([C:10](C)([CH:20]([CH:21]=[CH:22][N:23]1C(CC2=CC=CC=C2)C(=O)N(C)C1C(C)(C)C)[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1)[C:61](=[O:62])[O:92]CC)=[O:72] 10=20;20,21=21,22;22,23=23"
"CC1(C)[O:62][C:11]([O-:12])=[C:10]([C:91]2=[CH:92][CH:93]=[CH:94][CH:103]=[CH:102]2)[C:72](=[O:73])[O:83]1.CO[C:34]1=[CH:33][CH:32]=[C:31](/[CH:20]=[C:21](\C[N+]2=CC=CC=C2)[C:22](C)=[O:23])[CH:43]=[CH:44]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([C:10]2([C:91]3=[CH:92][CH:93]=[CH:94][CH:103]=[CH:102]3)[C:11](=[O:12])[O:62]C(C)(C)[O:83][C:72]2=[O:73])[C:21](C[N+]2=CC=CC=C2)=[C:22](C)[O-:23])[CH:43]=[CH:44]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
CC[O:72][C:61]([C-:10]([C:81](=[O:82])[O:92]CC)[C:101](C1=CC=CC=C1)=[O:102])=[O:62].CN(C1=CC=CC=C1)[C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][C:41]2=[CH:42][CH:43]=[C:44](N(C)C3=CC=CC=C3)[CH:45]=[CH:46]2)[CH:36]=[CH:35]1>>CC[O:72][C:61]([C:10]([CH:20]([C:31]1=[CH:32][CH:33]=[C:34](N(C)C2=CC=CC=C2)[CH:35]=[CH:36]1)[C:41]1=[CH:42][CH:43]=[C:44](N(C)C2=CC=CC=C2)[CH:45]=[CH:46]1)([C:81](=[O:82])[O:92]CC)[C:101](C1=CC=CC=C1)=[O:102])=[O:62] 10=20
"CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[C:22](=[O:23])[O:39]C(C)(C)[O:33][C:31]2=[O:32])[CH:46]=[CH:45]1.[CH:10](=[C:11]=[N-:12])[C:61]1=[CH:62][CH:63]=[C:64]([N+:65](=[O:66])[O-:76])[CH:83]=[CH:82]1>>CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([CH:10]([C:11]#[N:12])[C:61]2=[CH:62][CH:63]=[C:64]([N+:65](=[O:66])[O-:76])[CH:83]=[CH:82]2)[C:21]2=[C:22]([O-:23])[O:39]C(C)(C)[O:33][C:31]2=[O:32])[CH:46]=[CH:45]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CC[O:92][C:61]([C-:10](F)[S:71](C1=CC=CC=C1)(=[O:72])=[O:82])=[O:62].CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[C:22](=[O:23])[N:51](C)C(=O)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1>>CC[O:92][C:61]([C:10](F)([CH:20]([C:21]1=[C:22]([O-:23])[N:51](C)C(=O)[N:52](C)[C:32]1=[O:33])[C:41]1=[CH:42][CH:43]=[C:44](OC)[CH:45]=[CH:46]1)[S:71](C1=CC=CC=C1)(=[O:72])=[O:82])=[O:62] 10=20;20,21=21,22;22,23=23"
"CC[O:72][C:61]([C-:10]([C:81](=[O:82])[O:92]CC)[C:101](C1=CC=CC=C1)=[O:102])=[O:62].O=[N+]([O-])[C:33]1=[CH:32][C:21]([N+:22]([O-])=[O:23])=[CH:20][C:34]([N+](=O)[O-])=[CH:33]1>>CC[O:72][C:61]([C:10]([CH:20]1[C:21](=[N+:22]([O-])[O-:23])[CH:32]=[C:33]([N+](=O)[O-])[CH:33]=[C:34]1[N+](=O)[O-])([C:81](=[O:82])[O:92]CC)[C:101](C1=CC=CC=C1)=[O:102])=[O:62] 10=20;20,21=21,22;22,23=23"
"Cl[C:20]1=[CH:21][C:22](=[O:23])[C:30](Cl)=[CH:31][C:32]1=[O:33].[CH:10]1=[CH:11][NH:12][C:62]2=[C:61]1[CH:72]=[CH:73][CH:64]=[CH:63]2>>Cl[C:20]1([CH:10]2[CH:11]=[NH+:12][C:62]3=[C:61]2[CH:72]=[CH:73][CH:64]=[CH:63]3)[CH:21]=[C:22]([O-:23])[C:30](Cl)=[CH:31][C:32]1=[O:33] 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C[N+]1=C([C:22](/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)=[O:23])N(C(C)(C)C)C=C1.C[S+:61](C)[O-:10]>>C[N+]1=C([C:22](=[CH:21][CH:20]([O:10][S+:61](C)C)[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[O-:23])N(C(C)(C)C)C=C1 10=20;20,21=21,22;22,23=23"
"C1[CH:10]=[CH:11][CH:62]=[CH:63]1.CO[C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][C:41]2=[CH:42][C:43]3=[C:44](OCC3)[CH:43]=[CH:44]2)[CH:36]=[CH:35]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([CH:10]2C[CH:63]=[CH:62][CH+:11]2)[C:41]2=[CH:42][C:43]3=[C:44](OCC3)[CH:43]=[CH:44]2)[CH:36]=[CH:35]1 10,11=10,20"
"CC1=CC=C([S:32](/[CH:21]=[CH:20]/C2=CC=CC=C2)(=[O:33])=[O:34])C=C1.COC1=C([C:10]#[C:11][N:12](CC2=CC=CC=C2)[S:63](C2=CC=C(C)C=C2)(=[O:64])=[O:74])C=CC=C1>>COC1=C([C:10](=[C:11]=[N+:12](CC2=CC=CC=C2)[S:63](C2=CC=C(C)C=C2)(=[O:64])=[O:74])[CH:20](C2=CC=CC=C2)[CH-:21][S:32](C2=CC=C(C)C=C2)(=[O:33])=[O:34])C=CC=C1 10,11=10,20;12=11,12;20,21=21"
"CCC[C:11]1([H:10])CC[CH:13]=[CH:12]1.CO[C:34]1=[CH:33][CH:32]=[C:31](/[CH:20]=[C:21]2/C3=CC=CC=C3[N+:23](C)=[CH:22]2)[CH:36]=[CH:35]1>>CCC[C:11]1=[CH:12][CH+:13]CC1.CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([H:10])[C:21]2=[CH:22][N:23](C)C3=CC=CC=C32)[CH:36]=[CH:35]1 10,11=10,20;12,13=11,12;20,21=21,22;22,23=23"
"C1=CC=C(O[P+](OC2=CC=CC=C2)(OC2=CC=CC=C2)[Pd-:21]23([P+](OC4=CC=CC=C4)(OC4=CC=CC=C4)OC4=CC=CC=C4)C(C4=CC=CC=C4)C2[CH2:20]3)C=C1.CN1C(=O)[C@H](CC2=CC=CC=C2)[N:12](/[CH:11]=[CH:10]/C2=CC=CC=C2)C12CCCC2>>CN1C(=O)[C@H](CC2=CC=CC=C2)[N+:12](=[CH:11][CH:10](C2=CC=CC=C2)[CH2:20]C2C(C3=CC=CC=C3)[Pd-2:21]2([P+](OC2=CC=CC=C2)(OC2=CC=CC=C2)OC2=CC=CC=C2)[P+](OC2=CC=CC=C2)(OC2=CC=CC=C2)OC2=CC=CC=C2)C12CCCC2 10,11=10,20;12=11,12;20,21=21"
"C1C[C:21](=[CH2:20])[C:22](=[O:23])[O:33]C1.[CH:10]1=[C:11]([O-:12])[NH:82][C:73](=[O:74])[NH:82][C:61]1=[O:62]>>C1C[C:21]([CH2:20][CH:10]2[C:11](=[O:12])[NH:82][C:73](=[O:74])[NH:82][C:61]2=[O:62])=[C:22]([O-:23])[O:33]C1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CO[C:34]1=[CH:33][CH:32]=[C:31](/[CH:20]=[CH:21]/[CH:22]=[N+:23]2/C(CC3=CC=CC=C3)C(=O)N(C)C2(C)C)[CH:36]=[CH:35]1.C[SiH:11]([H:10])[C:62]1=[CH:63][CH:64]=[CH:65][CH:66]=[CH:67]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([H:10])[CH:21]=[CH:22][N:23]2C(CC3=CC=CC=C3)C(=O)N(C)C2(C)C)[CH:36]=[CH:35]1.C[SiH+:11][C:62]1=[CH:63][CH:64]=[CH:65][CH:66]=[CH:67]1 10,11=10,20;20,21=21,22;22,23=23"
"CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[C:22](=[O:23])[N:51](C)C(=O)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1.C[N:12]1[C:11]([H:10])([C:72]2=[CH:73][CH:74]=[CH:75][CH:84]=[CH:83]2)[N:62](C)[C:93]2=[C:94]1C=CC=C2>>CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([H:10])[C:21]2=[C:22]([O-:23])[N:51](C)C(=O)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1.C[N+:12]1=[C:11]([C:72]2=[CH:73][CH:74]=[CH:75][CH:84]=[CH:83]2)[N:62](C)[C:93]2=[C:94]1C=CC=C2 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C1=CC=C([C:10](=[C:11]=[N-:12])[S:61](C2=CC=CC=C2)(=[O:62])=[O:72])C=C1.CO[C:44]1=[CH:43][CH:42]=[C:41](/[CH:20]=[N:21]/[S:32](C2=CC=C(C)C=C2)(=[O:33])=[O:34])[CH:46]=[CH:45]1>>CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([C:10](C2=CC=CC=C2)([C:11]#[N:12])[S:61](C2=CC=CC=C2)(=[O:62])=[O:72])[N-:21][S:32](C2=CC=C(C)C=C2)(=[O:33])=[O:34])[CH:46]=[CH:45]1 10,11=10,20;12=11,12;20,21=21"
CO[C:65]1=[CH:64][CH:63]=[C:62]([N:61]2[C-:10]=[N+:71](C)[CH:73]=[CH:72]2)[CH:67]=[CH:66]1.Cl[C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][CH:41]=[CH:42][C:53]2=[CH:54][CH:55]=[C:56](Cl)[CH:57]=[CH:58]2)[CH:36]=[CH:35]1>>CO[C:65]1=[CH:64][CH:63]=[C:62]([N:61]2[C:10]([CH:20]([C:31]3=[CH:32][CH:33]=[C:34](Cl)[CH:35]=[CH:36]3)[CH:41]=[CH:42][C:53]3=[CH:54][CH:55]=[C:56](Cl)[CH:57]=[CH:58]3)=[N+:71](C)[CH:73]=[CH:72]2)[CH:67]=[CH:66]1 10=20
"CO[C:34]1=[CH:33][CH:32]=[C:31]([C+:20]([C:41]2=[CH:42][CH:43]=[C:44](OC)[CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[CH:36]=[CH:35]1.[H:10][Si:11]([CH3:62])([CH3:72])[C:82]1=[CH:83][CH:84]=[C:85]([Cl:86])[CH:93]=[CH:94]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([C:20]([H:10])([C:41]2=[CH:42][CH:43]=[C:44](OC)[CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[CH:36]=[CH:35]1.[Si+:11]([CH3:62])([CH3:72])[C:82]1=[CH:83][CH:84]=[C:85]([Cl:86])[CH:93]=[CH:94]1 10,11=10,20"
